tf	tg
SP1	EDNRB
SP1	GJA1
SP1	AGT
SP1	EZR
SP1	WIF1
SP1	CCL2
SP1	TNC
SP1	APOC3
SP1	FBLN1
SP1	ID4
SP1	PAX6
SP1	PTTG1
SP1	TIMP1
SP1	KRT18
SP1	CDKN1A
SP1	CXCL14
SP1	TIMP3
SP1	APOE
SP1	SPP1
SP1	KRT19
SP1	LPL
SP1	PTN
SP1	CHI3L1
SP1	FOS
JUN	CDKN1A
JUN	APOC3
JUN	EDN1
JUN	CCL2
JUN	ACTA1
JUN	EZR
JUN	STMN1
JUN	PTN
JUN	TNC
JUN	GJA1
JUN	ELN
JUN	CA2
JUN	MMP1
NFKB1	EDN1
NFKB1	PTGDS
NFKB1	MMP1
NFKB1	TNC
NFKB1	TFF3
NFKB1	TIMP1
NFKB1	GFAP
NFKB1	CDKN1A
NFKB1	CCNB1
NFKB1	ELF3
NFKB1	FN1
NFKB1	AGT
NFKB1	S100A6
NFKB1	LPL
NFKB1	A2M
NFKB1	CCL2
TWIST1	TIMP1
TWIST1	GDF15
TWIST1	MMP1
TWIST1	NR2F1
TWIST1	FN1
TWIST1	FOS
PPARD	SAT1
PPARD	ANGPTL4
PPARD	TIMP1
PPARD	LPL
PPARG	CDKN1A
PPARG	SAT1
PPARG	GDF15
PPARG	ANGPTL4
PPARG	APOB
PPARG	MMP1
PPARG	DBI
RELA	TFF3
RELA	ELF3
RELA	GFAP
RELA	CCL2
RELA	EDN1
RELA	TNC
RELA	TIMP1
RELA	CDKN1A
RELA	MMP1
RELA	AGT
RELA	CCNB1
RELA	FN1
RELA	LPL
RELA	S100A6
HDAC1	HMGCS1
HDAC1	SPP1
HDAC1	APOC3
HDAC1	SFRP1
HDAC1	FOS
HDAC1	HSPA5
HDAC1	CDKN1A
TP53	S100B
TP53	AFP
TP53	GDF15
TP53	MKI67
TP53	PTTG1
TP53	MMP1
TP53	CDKN1A
TP53	VCAN
TP53	CCNB1
TP53	CRYAB
BRCA1	CDKN1A
BRCA1	KRT18
BRCA1	HSPA5
BRCA1	ASPM
BRCA1	CCNB1
BRCA1	FOS
STAT3	FOS
STAT3	TIMP1
STAT3	CYR61
STAT3	GFAP
STAT3	A2M
STAT3	CHI3L1
STAT3	CDKN1A
STAT3	MMP1
STAT3	CCL2
HES1	PTGDS
HES1	ASCL1
HES1	MAP2
PPARA	APOC3
PPARA	LPL
PPARA	ANGPTL4
PPARA	APOB
PPARA	TUBA1B
DNMT3A	SFRP1
DNMT3A	CDH6
DNMT3A	CDKN1A
NR2F1	APOB
NR2F1	MTTP
NR2F1	APOC3
TFCP2	SPP1
TFCP2	A2M
TFCP2	PAX6
USF1	AGT
USF1	CCNB1
USF1	SLC1A3
USF1	PTGDS
USF1	ID4
USF1	S100A6
HNF4A	AFP
HNF4A	CDKN1A
HNF4A	APOC3
HNF4A	APOB
HNF4A	MTTP
MYCN	LRRN3
MYCN	EFNB3
MYCN	CDKN1A
MYCN	NES
MYCN	CLU
TWIST2	FOS
TWIST2	FN1
TWIST2	GDF15
TWIST2	NR2F1
MITF	PMEL
MITF	TRPM1
MITF	FOS
MITF	TYRP1
E2F1	CCNB1
