tf	tg
SP1	GJA1
SP1	EZR
SP1	TNC
SP1	FBLN1
SP1	IGFBP4
SP1	ID4
SP1	PAX6
SP1	TIMP1
SP1	CDKN1A
SP1	CXCL14
SP1	TIMP3
SP1	APOE
SP1	IGF2
SP1	IGFBP3
SP1	COL1A1
SP1	PTN
SP1	FOS
JUN	DCN
JUN	CDKN1A
JUN	ACTA1
JUN	EZR
JUN	STMN1
JUN	PTN
JUN	TNC
JUN	GJA1
JUN	MGP
JUN	ELN
TWIST2	POSTN
TWIST2	FOS
TWIST2	FN1
TWIST2	GDF15
TWIST2	NR2F1
SP3	FBLN1
SP3	CDKN1A
SP3	IGFBP3
SP3	TIMP1
SP3	SLC1A3
SP3	COL1A1
SP3	ID4
SP3	IGFBP4
TWIST1	TIMP1
TWIST1	GDF15
TWIST1	NR2F1
TWIST1	FN1
TWIST1	FOS
DNMT3A	IGFBP3
DNMT3A	SFRP1
DNMT3A	CDKN1A
JUND	SOX4
JUND	CDKN1A
JUND	TIMP1
JUND	CLU
TBP	FOS
TBP	CDKN1A
TBP	IGFBP4
HDAC1	IGFBP3
HDAC1	SFRP1
HDAC1	FOS
HDAC1	COL1A2
HDAC1	CDKN1A
TP53	GDF15
TP53	CDKN1A
TP53	VCAN
TP53	CRYAB
TP53	ANKRD1
TP53	CKM
TP53	IGFBP3
MYCN	LRRN3
MYCN	CDKN1A
MYCN	NES
MYCN	CLU
ETV6	CDKN1A
ETV6	IGFBP5
TFAP2B	PTGDS
TFAP2B	CRYAB
EGR1	GDF15
EGR1	FN1
EGR1	STMN1
EGR1	CDKN1A
EGR1	IGF2
CEBPZ	COL1A2
CEBPZ	COL11A1
TCF4	VCAN
TCF4	NRXN1
TCF4	CNTNAP2
EP300	IGFBP3
EP300	IGF1
EP300	CDKN1A
EP300	COL1A2
FOS	CLU
FOS	EZR
FOS	FOS
FOS	ACTA1
WT1	IGF1
WT1	CKM
WT1	IGF2
WT1	CDKN1A
HDAC2	COL1A2
HDAC2	CDKN1A
HDAC2	IGF1
KLF10	STMN1
KLF10	CDKN1A
NCOR1	IGF1
NCOR1	IGFBP3
HES1	PTGDS
HES1	MAP2
RUNX3	TIMP1
RUNX3	CDKN1A
RUNX3	PEA15
DNMT1	IL32
DNMT1	TIMP3
DNMT1	SFRP1
PPARG	CDKN1A
PPARG	SAT1
PPARG	GDF15
PPARG	DBI
RB1	IGF1
RB1	CDKN1A
RB1	FOS
HIPK2	CDKN1A
HIPK2	MEF2C
SMARCA4	FOS
SMARCA4	CDKN1A
TFAP2A	CDKN1A
TFAP2A	CRYAB
TFAP2A	COL1A1
TFAP2A	IGFBP5
PPARD	SAT1
PPARD	TIMP1
STAT6	COL1A2
STAT6	FOS
STAT6	COL1A1
OTX2	PAX6
OTX2	IGF1
HDAC7	MEF2C
HDAC7	CDKN1A
FOSL2	CLU
FOSL2	TIMP1
JUNB	CDKN1A
JUNB	CLU
AR	FN1
AR	CDKN1A
AR	ACTA1
AR	IGFBP3
SIRT1	PAX6
SIRT1	CDKN1A
SIRT1	COL1A2
CEBPA	IGF1
CEBPA	IGF2
CEBPA	FN1
ESR2	FOS
ESR2	CDKN1A
BRCA1	CDKN1A
BRCA1	IGF1
BRCA1	FOS
NFKB1	PTGDS
NFKB1	TNC
NFKB1	TIMP1
NFKB1	COL1A2
NFKB1	CDKN1A
NFKB1	FN1
NFKB1	COL1A1
ELK1	PTPRZ1
ELK1	FOS
PAX5	TIMP1
PAX5	CDKN1A
AHR	FOS
AHR	MT2A
SOX2	PAX6
SOX2	ISL1
SOX9	CDKN1A
SOX9	NES
USF1	SLC1A3
USF1	PTGDS
USF1	ID4
FLI1	COL1A2
FLI1	IGFBP3
POU5F1	CDKN1A
POU5F1	SOX2
PARP1	CDKN1A
PARP1	FN1
SRF	FOS
SRF	ACTA1
SMAD4	CDKN1A
SMAD4	TNC
NFIC	FABP7
NFIC	COL1A1
CTCF	IGF2
CTCF	PAX6
ETS1	CDKN1A
ETS1	TNC
ETS1	COL1A1
CIITA	COL1A1
CIITA	COL1A2
SMAD3	TNC
SMAD3	CDKN1A
ATF2	CDKN1A
ATF2	FN1
CDX2	CDKN1A
CDX2	IGFBP3
ETS2	CDKN1A
ETS2	TNC
RELA	COL1A2
RELA	TNC
RELA	TIMP1
RELA	CDKN1A
RELA	COL1A1
RELA	FN1
CREB1	FOS
CREB1	STMN1
CREB1	NR2F1
MYB	COL1A1
MYB	COL1A2
YY1	ACTC1
YY1	COL1A2
YY1	POSTN
EZH2	CDKN1A
EZH2	SFRP1
KLF4	CDKN1A
KLF4	GDF15
VDR	CDKN1A
VDR	IGFBP3
